TEAM,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,GA/G,W,L,OTL,SA,GA,PTS%
Anaheim Ducks,82,2.24,314,498,56,18.1,5,2438,7.5,1131,84.7,2.6,29,43,0,2443,213,0.353658537
,,,,,,,,,,,,,,,,,,
Columbus Blue Jackets,82,2.16,296,473,58,14.5,5,2280,7.8,1209,85.2,2.9,25,49,0,2623,238,0.304878049
,,,,,,,,,,,,,,,,,,
Carolina Hurricanes,82,2.1,283,455,41,10.7,9,2394,7.2,1102,81.6,2.55,28,40,0,2150,209,0.341463415
,,,,,,,,,,,,,,,,,,
Ottawa Senators,82,3.8,528,840,102,20.8,25,2811,11.1,1462,84.7,2.5,52,21,9,2344,205,0.743902439
,,,,,,,,,,,,,,,,,,
Detroit Red Wings,82,3.67,519,820,102,22.1,7,2797,10.8,1117,85.5,2.5,58,16,8,2180,205,0.804878049
,,,,,,,,,,,,,,,,,,
Carolina Hurricanes,82,3.49,481,767,95,17.9,17,2553,11.2,1125,81.8,3.15,52,22,8,2497,258,0.731707317
,,,,,,,,,,,,,,,,,,
Colorado Avalanche,82,3.41,494,774,89,18.8,11,2464,11.4,1178,84.6,3.06,43,30,9,2415,251,0.634146341
,,,,,,,,,,,,,,,,,,
Buffalo Sabres,82,3.37,487,763,101,21.2,10,2510,11,1164,86.6,2.85,52,24,6,2502,234,0.707317073
,,,,,,,,,,,,,,,,,,
Winnipeg Jets,82,3.37,471,747,100,18.9,13,2522,10.9,1344,79.2,3.29,41,33,8,2483,270,0.597560976
,,,,,,,,,,,,,,,,,,
San Jose Sharks,82,3.23,456,721,91,18.2,10,2483,10.7,1058,80.7,2.87,44,27,11,2180,235,0.670731707
,,,,,,,,,,,,,,,,,,
Philadelphia Flyers,82,3.21,438,701,80,18,19,2552,10.3,1201,79.1,3.09,45,26,11,2372,253,0.682926829
,,,,,,,,,,,,,,,,,,
Toronto Maple Leafs,82,3.1,446,700,107,21.4,14,2323,10.9,1398,80,3.21,41,33,8,2509,263,0.597560976
,,,,,,,,,,,,,,,,,,
Dallas Stars,82,3.09,455,708,88,17.7,10,2336,10.8,1496,83.7,2.65,53,23,6,2099,217,0.719512195
,,,,,,,,,,,,,,,,,,
Nashville Predators,82,3.09,442,695,94,18.4,12,2380,10.6,1533,84.6,2.73,49,25,8,2663,224,0.695121951
,,,,,,,,,,,,,,,,,,
Vancouver Canucks,82,3.07,442,694,96,18.3,6,2358,10.7,1475,81.8,3.06,42,32,8,2466,251,0.609756098
,,,,,,,,,,,,,,,,,,
Anaheim Ducks,82,3.06,432,683,87,18.1,9,2585,9.7,1459,83.5,2.71,43,27,12,2431,222,0.670731707
,,,,,,,,,,,,,,,,,,
New York Rangers,82,3.05,434,684,83,18.9,4,2448,10.2,1194,83.7,2.57,44,26,12,2358,211,0.682926829
,,,,,,,,,,,,,,,,,,
Edmonton Oilers,82,3.04,438,687,88,18.1,15,2442,10.2,1204,84.1,2.95,41,28,13,2095,242,0.658536585
,,,,,,,,,,,,,,,,,,
Tampa Bay Lightning,82,3,437,683,81,16.7,11,2594,9.5,959,81.5,3.12,43,33,6,2260,256,0.597560976
,,,,,,,,,,,,,,,,,,
Los Angeles Kings,82,2.96,431,674,77,14.2,15,2394,10.2,1474,78.7,3.28,42,35,5,2459,269,0.573170732
,,,,,,,,,,,,,,,,,,
Pittsburgh Penguins,82,2.96,433,676,94,19,13,2297,10.6,1559,78.8,3.78,22,46,14,2723,310,0.43902439
,,,,,,,,,,,,,,,,,,
Arizona Coyotes,82,2.95,431,673,96,17.7,9,2318,10.4,1511,80.9,3.27,38,39,5,2480,268,0.524390244
,,,,,,,,,,,,,,,,,,
Montreal Canadiens,82,2.94,413,654,89,19.2,10,2470,9.8,1336,81.1,2.98,42,31,9,2507,244,0.62195122
,,,,,,,,,,,,,,,,,,
Florida Panthers,82,2.88,404,640,63,15.3,5,2724,8.7,1279,82.3,3.07,37,34,11,2853,252,0.585365854
,,,,,,,,,,,,,,,,,,
New Jersey Devils,82,2.84,417,650,78,17.8,3,2395,9.7,948,81.9,2.74,46,27,9,2403,225,0.670731707
,,,,,,,,,,,,,,,,,,
Washington Capitals,82,2.8,367,597,72,14.7,15,2445,9.4,1499,78.9,3.66,29,41,12,2880,300,0.5
,,,,,,,,,,,,,,,,,,
Boston Bruins,82,2.78,382,610,62,14.8,9,2511,9.1,1174,83.7,3.15,29,37,16,2633,258,0.548780488
,,,,,,,,,,,,,,,,,,
Minnesota Wild,82,2.76,386,612,77,17,11,2194,10.3,1209,87.4,2.59,38,36,8,2460,212,0.56097561
,,,,,,,,,,,,,,,,,,
New York Islanders,82,2.7,392,613,76,16.9,5,2481,8.9,1266,79.2,3.35,36,40,6,2549,275,0.512195122
,,,,,,,,,,,,,,,,,,
Calgary Flames,82,2.63,364,580,87,18.2,8,2299,9.4,1482,84.3,2.35,46,25,11,2261,193,0.695121951
,,,,,,,,,,,,,,,,,,
